Compound ID,SMILES,mw,logp,hbd,hba,tpsa,rotb,rings,heavy,qed,n_stereo,conformer_ok
cpd_200000,CN1CCCN(C(=O)C2CCC(C(=O)N3CCN(C)CC3)CC2)CCC1,364.283826392,1.1210000000000018,0,4,47.10000000000001,2,3,26,0.736757568340672,0,True
cpd_225000,O=C(Cn1c(=O)c(C(F)(F)F)cn(F)c1=O)N1CCOCC1,325.068568712,-0.37980000000000014,0,4,73.54,2,2,22,0.6950477951056196,0,True
cpd_470000,CN1CCN(S(=O)(=O)c2ccc(F)cc2)C(C(=O)N(C)C)C1,329.12094072,0.21859999999999968,0,4,60.93000000000001,3,2,22,0.7958397970360508,0,True
cpd_250000,Cc1cn(CC(=O)N2CCCCC2C)c2c(=O)n(C)c(=O)n(C)c12,332.184840628,0.7481199999999995,0,3,69.24000000000001,2,3,24,0.8147361945816862,0,True
cpd_30000,Cc1cc2c(c(=O)n(C)c(=O)n2C)n1CC(=O)N1CCCCC1C,332.18484062799996,0.7481199999999995,0,3,69.24,2,3,24,0.8147361945816861,0,True
cpd_540000,O=C(C1CCN(S(=O)(=O)N2CCCC2)CC1)N1CCOCC1,331.15657728,-0.10219999999999807,0,4,70.16000000000001,3,3,22,0.7239441773876424,0,True
cpd_640000,O=C(C1CCCN(S(=O)(=O)N2CCCC2)C1)N1CCOCC1,331.15657728,-0.10219999999999807,0,4,70.16000000000001,3,3,22,0.7239441773876423,0,True
cpd_260000,Cn1c(=O)n(CC(=O)N2CCCCC2)c(=O)c2c1nc1n2CCS1,349.120860468,0.014899999999999691,0,5,82.13,2,4,24,0.7630857041281863,0,True
cpd_490000,Cn1c(=O)c2c(nc3n2CCS3)n(CC(=O)N2CCCCC2)c1=O,349.120860468,0.014899999999999691,0,5,82.13,2,4,24,0.7630857041281862,0,True
cpd_470000,Cn1c(CN2CCN(C(=O)N3CCOCC3)CC2)nc2ccccc21,343.20082504000004,1.1431000000000007,0,4,53.84,2,4,25,0.8206674167477942,0,True
cpd_455000,CN1CCN(C(=O)C2CCN(S(=O)(=O)c3ccccc3)C2)CC1,337.14601259600005,0.4712000000000003,0,4,60.93,3,3,23,0.804488868132774,0,True
cpd_40000,CC(=O)N1CCN(C(=O)c2ccc(Br)cc2)CC1,310.03168982000005,1.7534,0,2,40.620000000000005,1,2,18,0.792732726834107,0,True
cpd_95000,CC(=O)N1CCN(C(=O)c2ccccc2Br)CC1,310.03168982000005,1.7534,0,2,40.620000000000005,1,2,18,0.792732726834107,0,True
cpd_505000,CC(=O)N1CCN(C(=O)c2cccc(Br)c2)CC1,310.03168982000005,1.7534,0,2,40.620000000000005,1,2,18,0.792732726834107,0,True
cpd_450000,CC(=O)N1CCN(C(=O)c2ccc3c(c2)C(C)(C)C(=O)N3C)CC1,329.173941596,1.2449,0,3,60.93000000000001,1,3,24,0.7788492428378521,0,True
cpd_5000,Cc1ccccc1S(=O)(=O)N1CCN(C(=O)N2CCOCC2)CC1,353.140927216,0.7535200000000002,0,4,70.16000000000001,2,3,24,0.7868383918859738,0,True
cpd_130000,Cc1ccc(S(=O)(=O)N2CCN(C(=O)N3CCOCC3)CC2)cc1,353.140927216,0.7535200000000002,0,4,70.16000000000001,2,3,24,0.7868383918859739,0,True
